SN 1997cn 9   14 09 52.00 +17 33 02.7 18.516 0.015  0.050 0.260 0.622 0.032  0.380 0.015  0.696 0.069 3
SN 1997cn 10  14 09 46.13 +17 33 59.5 17.894 0.025  0.169 0.199 0.719 0.029  0.393 0.009  0.831 0.022 3
SN 1997cw 1   00 25 14.51 +12 56 11.1 15.147 0.029  0.294 0.080 0.797 0.031  0.447 0.027  0.877 0.028 1
SN 1997cw 2   00 25 21.21 +12 55 18.5 17.368 0.063  0.161 0.160 0.721 0.069  0.451 0.053  0.874 0.058 1
SN 1997cw 3   00 25 21.89 +12 54 31.0 16.035 0.038 -0.018 0.100 0.651 0.041  0.385 0.033  0.765 0.035 1
SN 1997cw 4   00 25 23.36 +12 53 12.6 15.813 0.035  0.085 0.094 0.708 0.038  0.406 0.031  0.807 0.033 1
SN 1997cw 5   00 25 26.06 +12 53 06.2 17.994 0.082  1.684 0.207 1.361 0.090  0.846 0.069  1.577 0.075 1
SN 1997cw 6   00 25 25.54 +12 51 12.5 15.801 0.035  0.160 0.094 0.723 0.038  0.420 0.031  0.814 0.033 1
SN 1997cw 7   00 25 21.96 +12 50 52.9 16.990 0.054  0.091 0.139 0.716 0.059  0.405 0.046  0.793 0.050 1
SN 1997dg 1   23 40 05.02 +26 14 16.0 15.777 0.035  0.001 0.093 0.637 0.038  0.383 0.031  0.766 0.033 1
SN 1997dg 3   23 40 14.02 +26 13 45.1 17.499 0.066  0.820 0.169 1.061 0.073  0.653 0.056  1.219 0.061 1
SN 1997dg 4   23 40 20.99 +26 13 33.7 18.674 0.110  0.205 0.278 0.927 0.122  0.508 0.093  1.006 0.101 1
SN 1997dg 6   23 40 16.90 +26 10 58.6 17.974 0.081  0.605 0.206 0.954 0.090  0.540 0.069  1.017 0.074 1
SN 1997dg 7   23 40 21.45 +26 10 02.8 18.347 0.096              1.406 0.106  0.936 0.080  1.782 0.087 1
SN 1997dg 8   23 40 20.75 +26 10 01.4 18.857 0.120              0.930 0.133  0.533 0.100  0.976 0.109 1
SN 1997dg 9   23 40 10.41 +26 09 27.4 15.969 0.037  0.083 0.098 0.699 0.040  0.416 0.033  0.816 0.035 1
SN 1997dg 10  23 40 06.33 +26 10 43.1 15.959 0.037 -0.054 0.098 0.558 0.040  0.343 0.033  0.698 0.035 1
SN 1997dg 11  23 40 11.33 +26 11 39.0 17.698 0.072  0.802 0.183 1.018 0.080  0.616 0.061  1.121 0.066 1
SN 1997do 1   07 26 30.31 +47 07 44.1 16.999 0.054  0.206 0.139 0.795 0.059  0.448 0.046  0.885 0.050 1
SN 1997do 2   07 26 31.90 +47 06 49.9 17.761 0.074 -0.048 0.188 0.616 0.082  0.391 0.063  0.738 0.068 1
SN 1997do 3   07 26 31.95 +47 06 16.2 17.294 0.061  0.590 0.156 0.893 0.067  0.528 0.052  1.016 0.056 1
