SN 1997dg 2450761.79 19.311 0.275 20.406 0.191 19.205 0.047 18.668 0.066 18.406 0.063 AndyCam/SAO
SN 1997dg 2450783.72 20.664 0.144 -      -     19.786 0.034 19.420 0.046 19.424 0.111 AndyCam/SAO
SN 1997dg 2450810.60 -      -     21.392 0.192 20.383 0.116 20.227 0.183 -      -     AndyCam/SAO
SN 1997dg 2450842.61 -      -     22.062 0.176 21.224 0.127 21.404 0.222 -      -     4Sh-chip1/SAO
SN 1997do 2450760.01 -      -     14.849 0.029 14.880 0.022 14.716 0.028 14.873 0.027 AndyCam/SAO
SN 1997do 2450762.84 14.455 0.038 14.626 0.014 14.635 0.008 14.454 0.011 14.691 0.013 AndyCam/SAO
SN 1997do 2450778.02 -      -     -      -     14.807 0.009 14.773 0.012 -      -     AndyCam/SAO
SN 1997do 2450780.90 15.959 0.037 15.607 0.013 15.003 0.007 15.021 0.009 15.288 0.010 AndyCam/SAO
SN 1997do 2450783.81 16.190 0.038 15.960 0.013 15.131 0.008 15.096 0.011 15.203 0.011 AndyCam/SAO
SN 1997do 2450810.78 17.991 0.065 17.722 0.039 16.480 0.008 16.063 0.012 15.833 0.013 AndyCam/SAO
SN 1997do 2450842.74 18.458 0.059 18.116 0.024 17.329 0.009 17.093 0.014 17.223 0.019 4Sh-chip1/SAO
SN 1997dt 2450777.60 -      -     -      -     15.919 0.007 15.402 0.010 -      -     AndyCam/SAO
SN 1997dt 2450781.68 15.863 0.038 15.801 0.014 15.369 0.009 14.928 0.011 14.636 0.013 AndyCam/SAO
SN 1997dt 2450810.58 18.539 0.051 17.847 0.015 16.242 0.008 15.570 0.011 14.986 0.012 AndyCam/SAO
SN 1997dt 2450842.59 -      -     18.915 0.044 17.510 0.019 16.945 0.027 16.474 0.035 4Sh-chip1/SAO
SN 1998D  2450874.04 18.902 0.057 18.588 0.028 17.433 0.013 16.971 0.020 16.571 0.024 4Sh-chip1/SAO
SN 1998D  2450893.93 19.445 0.079 19.094 0.032 18.156 0.022 17.801 0.048 17.558 0.031 AndyCam/SAO
SN 1998D  2450925.89 -      -     19.703 0.037 19.081 0.021 19.096 0.036 18.797 0.045 4Sh-chip1/SAO
SN 1998D  2450980.80 -      -     20.604 0.082 20.494 0.059 20.692 0.086 20.134 0.198 4Sh-chip1/SAO
SN 1998D  2450987.78 -      -     20.809 0.083 20.590 0.060 -      -     -      -     4Sh-chip1/SAO
SN 1998V  2450894.00 15.738 0.039 15.917 0.016 15.698 0.010 15.486 0.017 15.757 0.015 AndyCam/SAO
SN 1998V  2450894.98 15.918 0.037 15.972 0.014 15.761 0.009 15.521 0.011 -      -     AndyCam/SAO
